Pdv;NOM PDV;RUE;Rue 2;CP;LOCALITE;Téléphone;E-Mail distributeur;Canal;Libellé;S-Canal;Libellé;Tête de groupe;Nom tête de groupe;Intercanal;Désignation Inter-canal;AGENCE COM.;Libellé;Chef vente;Libellé;Ingénieur Com;Libellé;Pdv en travaux
103007;INTER@'COM AUBENAS;7 PLACE GENERAL DE GAULLE;;7200;AUBENAS;04 75 35 36 82;sfraubenas@gmail.com;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;103000;INTER@'COM;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z08;D. Parent Claude;M17;R. Bodelle;NON
280147;AUDILEC MARMANDE;20 RUE CHARLES DE GAULLE;;47200;MARMANDE;05 53 20 98 47;seb.sfrmarmande@sfr.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1022291;ACR COMMUNICATION;IC08;INDEPENDANTS;AG06;Sud-Ouest PGP;Z12;N. Saint Esteben;M38;B. Pilat;NON
425010;JETTEL ST JULIEN LES VILLAS;1 BOULEVARD DE DIJON;;10800;SAINT JULIEN LES VILLAS;03 25 49 30 30;espacesfr.stjulien@jettel.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1001891;JETTEL;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z25;A. Laroche;M02;A. Cinari;NON
1000173;SPIRAL AVIGNON;11 RUE DE LA REPUBLIQUE;;84000;AVIGNON;04 90 85 03 39;kevin@gueudet.org;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1012583;SPIRAL;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z16;S. Mattei;M27;D. Laurent;NON
1000460;ATW NICE MALAUSSENA;8 AVENUE MALAUSSENA;;6000;NICE;04 93 13 88 63;atwilan@orange.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1001837;ATW;IC08;INDEPENDANTS;AG04;Méditerranée PGP;Z10;F. Depreeuw;M31;P. Roby;NON
1000633;INTER COM VITRE;29 PLACE DE LA REPUBLIQUE;;35500;VITRE;02 99 75 38 74;espacesfr.vitre@free.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1000632;FERRON TELECOM;IC08;INDEPENDANTS;AG03;Ouest PGP;Z22;Y. Daniel;M86;S. Allain;NON
1000637;ALPHA MOBILES VILLENEUVE D'ASCQ;35 BOULEVARD DE VALMY;;59650;VILLENEUVE D'ASCQ;03 20 05 13 84;villeneuve@alphamobiles.com;C3;C3 Réseau Direct;S3;EspaceSFR indep 2009;1001807;ALPHA MOBILES SYSTEMES;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z24;A. Courouble;M10;C. Vidallet;NON
1000914;REVOLEA DUNKERQUE;88 BOULEVARD ALEXANDRE III;;59140;DUNKERQUE;03 28 66 99 99;revolea.dunkerque@sfr.fr;C3;C3 Réseau Direct;3I;EspaceSFR indep Nv.E;1033764;REVOLEA;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z05;MA. Roquette;M06;JM. Liagre;NON
1000967;E-LOGGER BOURG EN BRESSE;1 BOULEVARD DE BROU;;1000;BOURG EN BRESSE;04 74 24 68 31;bourg@highwayfrance.fr;C3;C3 Réseau Direct;T5;Espace IND Zone THD;1000411;HIGHWAY FRANCE;IC08;INDEPENDANTS;AG02;Centre-Est PGP;Z20;S. Verlant;M76;S. Benyoussef;NON
1001140;REVOLEA BOULOGNE SUR MER;2 RUE VICTOR HUGO;;62200;BOULOGNE SUR MER;03 21 30 67 67;revolea.boulogne@sfr.fr;C3;C3 Réseau Direct;R5;Espace IND Zone ADSL;1033764;REVOLEA;IC08;INDEPENDANTS;AG05;Nord-Est PGP;Z05;MA. Roquette;M14;M. Lesschave;NON
